pair,Wealth NEAT,Wealth STATIC,Wealth DRL,CAGR NEAT,CAGR STATIC,CAGR DRL,ASR NEAT,ASR STATIC,ASR DRL,# Trades NEAT,# Trades STATIC,# Trades DRL,TR NEAT,TR STATIC,TR DRL
#11295,1296140.8899999983,1097310.3499999999,989904.7799999999,0.08433020269316649,0.02940869325710027,-0.008755101578617364,2.2566335291371855,1.0200734781209144,-1.7075151617944322,301,17,5,0.2961408899999982,0.09731034999999988,-0.010095220000000071
#62369,1237714.9699999997,1053705.75,1006800.2900000003,0.06883140135089394,0.01646229569315638,0.007657266778950955,2.2731598017289554,0.6452832105151446,0.5373402864906995,52,14,17,0.23771496999999964,0.05370575,0.006800290000000375
#29109,1261793.3800000004,1047966.6699999999,1068975.6999999997,0.07527844658319949,0.014731053451042753,0.03686846729130311,2.19814793246325,0.48949413722863694,0.9282113136299605,76,13,29,0.2617933800000003,0.04796666999999988,0.06897569999999975
#15698,1132053.9599999995,1035028.3000000004,984960.7099999997,0.03947313445105771,0.010804020901212574,-0.02897432156080515,1.5973099610496904,0.40434730005373165,-1.418254034155313,53,11,34,0.13205395999999947,0.035028300000000456,-0.01503929000000026
#25331,1137210.7900000005,1025216.0500000003,1013447.8600000003,0.04094876652388035,0.007803248780084093,0.00567261243412287,1.8415339768105623,0.2552158345959023,0.10593558358241818,214,11,47,0.13721079000000058,0.025216050000000267,0.013447860000000311
#48260,1237772.3000000007,1076946.2199999995,1089569.8400000005,0.06884685360817522,0.023407398993766426,0.10720940775329835,1.521717728848753,0.601886589649984,1.909938274529202,49,19,46,0.2377723000000007,0.07694621999999951,0.08956984000000046
#49850,1514746.560000001,1150731.8000000003,1009775.9000000003,0.1383834875335117,0.04479608467363172,0.008273091478841366,5.882536068697952,2.5435869673376406,1.199386924185342,255,80,23,0.514746560000001,0.1507318000000002,0.00977590000000017
#99137,1444408.4999999967,1124924.8599999994,999550.2799999999,0.12161350113281033,0.03742550119554844,-0.00036541290835856444,5.815883809957245,2.3627972902120122,-10.771742997804207,313,78,3,0.44440849999999665,0.12492485999999947,-0.0004497200000000978
#28211,1375925.469999995,1050825.01,1000527.9300000002,0.10473704017696384,0.015594108979651855,0.00047494174718210047,3.9394844843906025,0.6613166002063712,-7.036392315295216,250,34,3,0.375925469999995,0.05082501000000006,0.0005279300000000653
#75568,1516221.1500000013,1075796.83,1017241.22,0.1387292699369298,0.02306635548986158,0.010152352496784811,5.5225512383605215,1.0954459541001313,0.7573229592377888,369,36,59,0.5162211500000013,0.07579683000000004,0.017241220000000057
#15612,1001003.3,1000729.4,1000657.4000000001,0.0003130468617495996,0.00022760677537903007,0.0003084732754852215,-7.798032265969629,-11.214774479209087,-11.454631858354547,38,17,91,0.0010033000000000403,0.0007293999999999912,0.0006574000000001412
#12992,2507714.3999999994,1552431.1000000003,1054036.9000000004,0.33236927422962537,0.14714864432613162,0.04666661769253877,2.027504265823007,1.2271261307784005,1.0996233929669783,72,35,23,1.5077143999999993,0.5524311000000004,0.054036900000000276
#68036,2285706.799999998,1550104.9000000006,1153550.7000000004,0.29437234682588476,0.14661185149059452,0.08408719441846002,1.8417201503431166,1.2214006591764939,1.1397308139191111,69,35,13,1.285706799999998,0.5501049000000007,0.15355070000000048
#72096,1002279.500000002,1000971.7000000002,1000028.4,0.0007109314986237791,0.00030319041071735775,9.346746401073247e-06,-6.638231087678874,-8.734865211734936,-244.93541010716524,533,13,11,0.0022795000000019883,0.0009717000000002418,2.8399999999928482e-05
#80403,1002469.9999999995,1001222.7000000001,999935.7000000004,0.0007702943474572344,0.00038147467440241556,-2.2470900088222834e-05,-3.5121500507113077,-5.9356730131003,-9.47995144144656,61,15,41,0.002469999999999528,0.001222700000000021,-6.429999999957303e-05
#23196,2561242.200000001,1810920.0000000014,1019891.6000000001,0.3411816335482667,0.20364043629876005,0.010592851615888632,2.1283818213703185,1.6130829526175923,0.2257562478995934,371,47,16,1.561242200000001,0.8109200000000014,0.01989160000000001
#75803,1661976.4200000004,1094999.2800000007,1067422.8899999987,0.1718243025213082,0.02873149683700027,0.026360278532790105,2.0481883120682407,0.407980619750687,0.5342218970162945,111,31,71,0.6619764200000005,0.0949992800000008,0.06742288999999868
#75480,2178340.109600004,1390513.1323000002,1099591.7328999997,0.2750799880181216,0.10837955173734004,0.05703725640336588,2.1267298747148473,1.0161670238063476,0.9987188841079837,191,29,15,1.1783401096000037,0.3905131323000002,0.09959173289999979
#69655,2867411.17,833872.24,1016865.3,0.3892934528681604,-0.05512752378459029,0.01084852627671129,2.0405107701867036,-0.35279048172467065,0.25778524072229,623,19,28,1.86741117,-0.16612775999999996,0.016865300000000083
