,date_min,date_max,na_count_asset_1,na_count_asset_2,act,coint,hurst,pair,area
0,2009-01-02,2012-12-31,0,0,16.857142857142858,1.7398337977115457e-07,0.4784398715671967,0.0,Izraelian bonds (different maturities)
0,2009-01-02,2012-12-31,0,0,17.90909090909091,0.00021289671610418633,0.44823371879685325,1.0,Izraelian bonds (different maturities)
0,2009-01-02,2012-12-31,0,0,19.591836734693878,0.053070934844526275,0.48652694616970305,3.0,Izraelian bonds (different maturities)
0,2009-01-02,2012-12-31,0,0,64.33333333333333,0.3932817037246803,0.4740819617973848,4.0,Izraelian bonds (different maturities)
0,2009-01-02,2012-12-31,0,0,49.05263157894737,0.08186762152810012,0.47892672797565616,5.0,Izraelian bonds (different maturities)
0,2009-01-02,2012-12-31,0,0,21.13953488372093,0.006827211270842155,0.5142568991032309,6.0,Izraelian bonds (different maturities)
0,2009-01-02,2012-12-31,0,0,15.677966101694915,0.005068681655348546,0.5053887149808463,7.0,Izraelian bonds (different maturities)
0,2009-01-02,2012-12-31,0,0,34.82142857142857,0.009630081757018625,0.49808520241264703,8.0,Izraelian bonds (different maturities)
0,2009-01-02,2012-12-31,0,0,4.0,0.0022297592977299266,0.2909051283635023,10.0,US bonds (different maturities()
0,2009-01-02,2012-12-31,0,0,4.312775330396476,0.04249317929900418,0.28934766674037365,11.0,US bonds (different maturities()
0,2009-01-02,2012-12-31,0,0,9.12087912087912,0.00908631967040452,0.48723611692974694,12.0,US bonds (different maturities()
0,2009-01-02,2012-12-31,0,0,7.742857142857143,0.019855045806943472,0.44039598351504133,13.0,US bonds (different maturities()
0,2009-01-02,2012-12-31,0,0,10.5,2.13571051244322e-09,0.3924374514190232,17.0,Gold futures (different maturities)
0,2009-01-02,2012-12-31,0,0,10.28125,1.7935785400925045e-09,0.3997291441989088,18.0,Gold futures (different maturities)
0,2009-01-02,2012-12-31,0,0,51.0,0.07317603543916919,0.4405332409711523,19.0,Gold futures (different maturities)
0,2009-01-02,2012-12-31,0,0,34.0,0.08719909371277856,0.4400834275205517,20.0,Gold futures (different maturities)
0,2009-01-02,2012-12-31,0,0,22.10810810810811,0.08923280481944507,0.46211292657987757,21.0,WTI & Brent
0,2009-01-02,2012-12-31,0,0,20.547619047619047,0.25614286969281264,0.47297164946196874,22.0,WTI & RBOB Gasoline
0,2009-01-02,2012-12-31,0,0,10.130434782608695,0.10877539115724566,0.46597452544972545,23.0,WTI & TOCOM Gasoline
0,2009-01-02,2012-12-31,0,0,21.42222222222222,0.00325996242756957,0.4644135752488749,25.0,Brent & RBOB Gasoline
0,2009-01-02,2012-12-31,0,0,7.0,0.016667391481088128,0.4643996710976965,26.0,Brent & TOCOM Gasoline
0,2009-01-02,2012-12-31,0,0,14.967213114754099,0.0007767687370918471,0.4484429787255739,27.0,Brent & ICE Heating oil
0,2009-01-02,2012-12-31,0,0,24.78787878787879,0.3835685078161232,0.47088922191040516,28.0,Brent & Light crude oil
0,2009-01-02,2012-12-31,0,0,12.7625,2.1175696500543915e-05,0.47957921806022746,29.0,WTI & Light crude oil
0,2009-01-02,2012-12-31,0,0,14.166666666666666,2.7514645475613563e-05,0.46884535076935885,36.0,WTI & sweet crude oil
